Suburb,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,zipcode,airbnb_price_mean,airbnb_record_count,review_scores_value_mean,review_scores_location_mean
Abbotsford,2,h,1480000.0,2.5,3067.0,1.0,1.0,202.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1035000.0,2.5,3067.0,1.0,0.0,156.0,79.0,1900.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1465000.0,2.5,3067.0,2.0,0.0,134.0,150.0,1900.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,850000.0,2.5,3067.0,2.0,1.0,94.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,4,h,1600000.0,2.5,3067.0,1.0,2.0,120.0,142.0,2014.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,941000.0,2.5,3067.0,1.0,0.0,181.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1876000.0,2.5,3067.0,2.0,0.0,245.0,210.0,1910.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1636000.0,2.5,3067.0,1.0,2.0,256.0,107.0,1890.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,1,u,300000.0,2.5,3067.0,1.0,1.0,0.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1097000.0,2.5,3067.0,1.0,2.0,220.0,75.0,1900.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,u,700000.0,2.5,3067.0,2.0,1.0,0.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1350000.0,2.5,3067.0,2.0,2.0,214.0,190.0,2005.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,u,750000.0,2.5,3067.0,2.0,1.0,0.0,94.0,2009.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1172500.0,2.5,3067.0,1.0,1.0,195.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,1,u,441000.0,2.5,3067.0,1.0,1.0,0.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1310000.0,2.5,3067.0,1.0,2.0,238.0,97.0,1890.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1200000.0,2.5,3067.0,2.0,1.0,113.0,110.0,1880.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1176500.0,2.5,3067.0,1.0,1.0,138.0,105.0,1890.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,955000.0,2.5,3067.0,1.0,0.0,183.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,890000.0,2.5,3067.0,1.0,1.0,150.0,73.0,1985.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,4,h,1330000.0,2.5,3067.0,2.0,2.0,780.0,135.0,1900.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,t,900000.0,2.5,3067.0,2.0,2.0,0.0,,2010.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,u,1090000.0,2.5,3067.0,2.0,2.0,4290.0,27.0,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,u,500000.0,2.5,3067.0,1.0,1.0,0.0,60.0,1970.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,1.0,124.0,135.0,2013.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1315000.0,2.5,3067.0,1.0,0.0,147.0,85.0,1900.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,1,u,426000.0,2.5,3067.0,1.0,1.0,0.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,1.0,166.0,174.0,2012.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,1,u,457000.0,2.5,3067.0,1.0,1.0,0.0,50.0,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,98.0,128.0,1920.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,4,h,1542000.0,2.5,3067.0,3.0,1.0,0.0,,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1290000.0,2.5,3067.0,2.0,2.0,147.0,18.0,,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1290000.0,2.5,3067.0,1.0,1.0,168.0,124.0,1950.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,1,u,470000.0,2.5,3067.0,1.0,1.0,0.0,50.0,2013.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,2,h,1180000.0,2.5,3067.0,1.0,0.0,162.0,91.0,1900.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
Abbotsford,3,h,1195000.0,2.5,3067.0,2.0,1.0,120.0,128.0,1998.0,Northern Metropolitan,4019.0,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
